ID,Inertia,Proactive,Flexibility
611,0.35,-0.40,0.00
612,-0.68,0.19,-0.14
614,-0.68,-0.29,0.14
618,0.48,-0.27,-0.11
619,0.01,-0.62,-0.25
621,-0.01,0.29,-0.29
622,0.85,-0.93,-0.50
623,0.49,0.03,-0.38
624,1.00,0.87,0.62
625,0.34,-0.49,0.25
626,-0.68,-0.08,0.14
627,0.47,0.82,0.22
628,0.41,-0.06,0.04
629,0.30,0.32,-0.04
630,-0.20,0.33,-0.02
631,-0.01,-0.30,-0.33
633,0.48,0.20,0.00
636,0.17,-0.07,0.00
637,-0.88,-0.51,-0.39
638,0.00,-0.08,-0.08
639,-0.26,-0.47,-0.04
640,0.58,-0.08,0.13
641,-0.49,0.17,0.19
642,0.04,-0.04,0.23
643,-0.32,-0.11,-0.34
644,0.00,0.29,-0.26
645,-0.62,0.52,0.06
646,-0.23,0.08,-0.28
647,-0.14,0.37,0.28
648,-0.68,0.38,-0.10
649,-0.31,0.25,0.07
651,0.17,-0.31,0.19
652,0.91,-0.51,-0.35
653,-0.68,-0.17,0.13
656,0.10,0.35,0.17
657,-0.06,0.17,-0.23
658,0.84,-0.45,-0.37
659,0.25,-0.64,-0.15
660,-0.02,-0.56,-0.01
661,-0.27,0.11,0.15
662,0.64,0.36,0.21
663,-0.20,0.12,0.03
664,-0.18,-0.50,-0.28
665,-0.07,0.39,-0.02
666,0.35,0.12,-0.21
667,0.52,0.07,0.11
668,0.34,0.56,0.14
669,0.82,0.33,0.28
670,-0.33,-0.08,0.08
671,-0.33,-0.33,0.08
672,-0.49,-0.20,-0.29
673,-0.07,-0.41,0.19
674,-0.06,-0.33,-0.11
675,0.66,0.13,-0.09
676,-1.17,-0.01,0.41
677,-0.43,0.28,-0.36
678,-0.07,-0.25,0.00
679,0.11,-0.18,0.11
680,-0.20,-0.21,0.03
681,-0.82,-0.12,0.24
682,0.05,-0.09,-0.18
683,-0.32,-0.06,0.23
684,0.15,0.55,0.05
685,0.34,0.02,0.15
686,-0.27,0.15,0.26
687,0.13,0.58,0.48
689,0.59,0.15,0.01
691,-0.20,0.13,0.13
693,0.46,0.29,0.56
694,0.19,-0.91,-0.36
695,-0.44,0.17,0.16
696,0.63,0.62,0.60
697,0.04,0.23,0.18
698,0.04,-0.14,0.14
699,-1.15,0.50,-0.26
700,0.41,-0.01,0.00
701,0.30,-0.39,-0.37
702,-0.68,0.14,-0.04
703,-0.33,0.05,-0.06
704,0.18,0.32,-0.08
705,0.42,0.04,-0.10
706,0.45,0.02,0.20
707,0.11,-0.19,-0.02
708,0.34,0.18,0.25
709,-0.01,0.40,0.10
710,0.03,0.15,0.25
711,0.34,-0.32,0.19
713,1.03,-0.15,-0.11
714,-0.81,0.22,0.04
715,-0.92,0.11,-0.04
716,-0.99,-0.06,0.25
717,-0.86,0.28,0.05
718,0.28,0.39,0.03
719,0.59,-0.30,-0.17
720,-0.19,-0.32,-0.25
721,-0.67,0.17,-0.32
722,0.10,0.39,0.05
723,0.28,-0.14,0.13
